	vertex	degree	eigenvector	betweenness			
1352	top line furniture	3	0.003	36.02			
1353	sc unemployement office	1	0.001	0			
1354	office gamespot	1	0.001	0			
1355	legacy traditions furniture	1	0.001	0			
1356	tx unemployment office	3	0.003	0.516			
1357	desktop winter backgrounds	3	0.001	0.691			
1358	devino road concepts	1	0	0			
1359	dexter shoes stores location	2	0.001	0			
1360	diccionario english	2	0	0			
1361	korean to english	1	0	0			
1362	imdb batman returns	2	0	0			
1363	DIRECT Project Homepage	2	0	0			
1364	ymca military discount	1	0	0			
1365	with discount prices	1	0	0			
1366	wireless network hacks	4	0.003	0			
1367	how to create a wireless network	6	0.003	29.912			
1368	disney for military	2	0.001	0			
1369	disneyland season passes	1	0	0			
1370	lion king soundtrack	4	0.005	2.715			
1371	disturbed song lyrics	1	0	0			
1372	diva invitations	2	0	0			
1373	dj rondon	4	0.005	0.093			
1374	DMC embroidery thread	1	0	0			
1375	do bananas have calcium	4	0	7.099			
1376	why does asparagus make your pee smell	5	0.002	601.99			
1377	do not enter signs	2	0	0			
1378	documentation that describes such	1	0	0			
1379	dodge motor	3	0	0			
1380	domestic violence statistics	1	0	0			
1381	Penney Life Insurance	3	0	0			
1382	don't go changing	4	0.001	0			
1383	go lsn .com	4	0.001	0			
1384	don't let the bastards get you down	1	0	0			
1385	download ayat seribu dinar mp3	1	0	0			
1386	free hawaiian music download	10	0.001	420.46			
1387	download new ie	3	0.002	0.499			
1388	download symantec virus definition	2	0	0			
1389	downloadable scientific calculator	1	0	0			
1390	dream guitar	2	0.001	0			
1391	dress up who .com	1	0	0			
1392	ductless heat pump	1	0	0			
1393	dulce de leche cake	1	0	0			
1394	shaun the sheep dvd	6	0.004	8.984			
1395	eagle claw kung fu	1	0	0			
1396	Earn miles with American	1	0	0			
1397	Earth Treks	1	0	0			
1398	eastfeild college	5	0	0.2			
1399	easy knitted shrug	1	0	0			
1400	easy light desserts	1	0	0			
1401	ebay clock	2	0.001	0.507			
1402	teens ms	1	0	0			
1403	sears driver's ed	1	0	0			
1404	maltese size	1	0	0			
1405	edenpure store	1	0	0			
1406	edmonds performing arts center	4	0	2875			
1407	williamston agricultural center	1	0	0			
1408	southern hills medical center	1	0	0			
1409	effects of erosion	1	0	0			
1410	ekg machines	1	0	0			
1411	el cartel soundtrack	2	0	0			
1412	electric flight	1	0	0			
1413	electrolux washer and dryer reviews	2	0	0			
1414	elizabeth cervantes	1	0	0			
1415	funny auto repair slogans	3	0.001	0			
1416	tampa raven chat line	2	0.002	33.616			
1417	line invaders skis	1	0	0			
1418	emergency medicine	1	0	0			
1419	wrist and ankle weights	1	0	0			
1420	engorged breastfeeding	1	0	0			
1421	esperanto translator	1	0	0			
1422	espn2 schedule live	3	0	0			
1423	event speakers	1	0	0			
1424	examples of topic sentences	2	0	0			
1425	Kyoto Treaty topic	4	0	1440.886			
1426	experian contact	1	0	0			
1427	explorer not working	1	0	0			
1428	northern factory sales	1	0.001	0			
1429	fairborn municipal court ohio	9	0.004	91.083			
1430	fast food design	4	0	19.33			
1431	when is goody's closing	2	0	0			
1432	fat loss pills	3	0	0			
1433	soups for weight loss	2	0	0			
1434	fatal motorcycle accidents pictures	2	0	0			
1435	outlaws motorcycle clubs	1	0	0			
1436	federal bullets ammunition	1	0	0			
1437	federal correction institute	1	0	0			
1438	federal employee holidays	1	0	0			
1439	Federal Financial Aid	3	0.003	0			
1440	resolve matters brought before	1	0	0			
1441	feline health questions	2	0	0			
1442	female porn	4	0	12.397			
1443	good work	3	0	44.063			
1444	porno hb	7	0.007	1686.135			
1445	free porn storys	8	0.001	1602.478			
1446	festival network online fno	2	0	0			
1447	iowa summer writing festival	4	0	3			
1448	fibre supplements	1	0	0			
1449	fidelity brokerage	1	0	0			
1450	file for free taxes	1	0	0			
1451	how to file bankruptcy in georgia	2	0	0			
1452	final approach blinds	1	0	0			
1453	find friends online free	4	0	0			
1454	how do i find a ein for a business	5	0	95.799			
1455	find wow character	5	0	272.921			
1456	quote about character	2	0	49.113			
1457	firefighter workouts exercise	1	0	0			
1458	first tech	1	0	0			
1459	south indian railway map	2	0.002	0			
1460	paul kane	1	0.001	0			
1461	paul allen tatoosh	1	0.001	0			
1462	map of austalia	1	0.001	0			
1463	google map multiple locations	9	0.007	6.097			
1464	how to dry lemon zest	4	0	59.491			
1465	gmac payment	3	0	0			
1466	free online ged practice test	6	0	392.574			
1467	free boost mobile codes	3	0.001	3.187			
1468	florida probate court	4	0	1438			
1469	humanrights watch	3	0.002	0			
1470	ugl paint	1	0	0			
1471	lsu girls basketball	1	0	0			
1472	Research Data Direct	5	0	23.958			
1473	florida ports	1	0	0			
1474	ventura county court	1	0	0			
1475	floridata plant profile	1	0	0			
1476	floristerias en guatemala	1	0	0			
1477	fly off the wall	4	0.002	112.864			
1478	food concepts	4	0	0			
1479	phillipines food	3	0	0			
1480	process manager	1	0	0			
1481	indian food recepi	1	0	0			
1482	omeara ford	1	0	0			
1483	ford tsb	1	0	0			
1484	fort myers foreclosures	3	0.001	2.886			
1485	fox soccer channel online	4	0	3			
1486	soccer supply	1	0	0			
1487	soccer olympics	1	0	0			
1488	soccer bet	1	0	0			
1489	freddie cougar halloween	1	0	0			
1490	free anime manga series	1	0	0			
1491	purchase music online	5	0	149.935			
1492	millenium music conference	2	0	0			
1493	free commercial lease agreements	1	0	0			
1494	LETTER CODES	4	0	82.885			
1495	free cruise for military	1	0	0			
1496	free easy keyboard songs	1	0	0			
1497	free email newsletter template	3	0	1438			
1498	how to set yahoo mail as default	7	0.001	4336.164			
1499	free timeline template downloads	2	0	0			
1500	porn on blu-ray	1	0	0			
1501	free hard fucking videos	1	0	0			
1502	wrought iron fence parts	1	0.001	0			
1503	The Book of Revelation	4	0.001	5.515			
1504	free psp emulator download for pc	30	0.031	231.53			
1505	free system security download	7	0.003	41.009			
1506	free indie games downloads	1	0	0			
1507	smith barney retention package	1	0	0			
1508	penis help	3	0.002	0			
1509	naval acquisition intern program	5	0	167.92			
1510	ibew apprenticeship program	8	0	437.477			
1511	Life Path	7	0	1491.372			
1512	free microsoft dvd decoder	4	0.002	0			
1513	free mp4 joiner download	1	0	0			
1514	free online rummy games	2	0	0			
1515	free online dirt bick games	1	0	0			
1516	free online hunting and fishing games	7	0	311.912			
1517	jogos online de soccer	3	0	0			
1518	how to become a hunting guide	4	0	1520.495			
1519	porno asia	1	0	0			
1520	free porn website	3	0	0.381			
1521	helmet liner knitting pattern	6	0.001	267.101			
1522	free printable birthday cards	1	0	0			
1523	free printable luggage tags	1	0	0			
1524	free supplement samples	1	0	0			
1525	free symmetry worksheets	1	0	0			
1526	Free tarot readings	2	0	0			
1527	love tarot free	1	0	0			
1528	free tiny candid	1	0	0			
1529	free trial magazines	1	0	0			
1530	free weather archives noaa	4	0	0.5			
1531	world weather records	2	0	0			
1532	web works	1	0	0			
1533	freezing a wart	1	0	0			
1534	frontline pbs	1	0.001	0			
1535	frozen madonna	1	0	0			
1536	frustration induced criminality	1	0	0			
1537	full figured bikinis	1	0	0			
1538	the cougar club	1	0	0			
1539	fun teen games	1	0	0			
1540	funny dialogue	1	0	0			
1541	sacred heart u	6	0.007	0			
1542	gait belts	2	0	0			
1543	gallagher comedy show	1	0	0			
1544	install new program	6	0	0.25			
1545	This program cannot display the webpage	7	0	44.912			
1546	geithner tax evasion	1	0	0			
1547	geneva construction	1	0	0			
1548	georgia standards commission	1	0	0			
1549	jimmy buffett license to chill	3	0.001	19.543			
1550	get off	3	0	0			
1551	gift ideas for her	1	0	0			
1552	glendale az restaurants	6	0.007	2.565			
1553	vestas wind system	2	0	0			
1554	Safety Related Internet	4	0.001	0			
1555	Muscular system	4	0.002	50.47			
1556	Internet charges because	4	0.001	0			
1557	tesoros trading company	2	0	1438			
1558	kentucky lake boating accident	1	0	0			
1559	global warming lie	6	0.005	95.624			
1560	glow shift	1	0	0			
1561	gluten free ravioli	1	0	0			
1562	whiskey bottle sizes	1	0.001	0			
1563	goddess diana	1	0	0			
1564	montana bankers association	1	0	0			
1565	goodwill of michigan	1	0	0			
1566	grains to grams conversion	1	0	0			
1567	grant haas ted haggard	1	0	0			
1568	great worship songs	1	0	0			
1569	grill mates	1	0	0			
1570	growing aloe	1	0	0			
1571	guinea pig costumes	1	0	0			
1572	hotel reviews from guests	6	0.004	0.48			
1573	st joes college indiana	2	0	0			
1574	monmouth college new jersey	2	0	0			
1575	merrit college oakland ca	2	0	0			
1576	Gunn's Guide to Style	1	0	0			
1577	yahoo free e cards holidays	3	0.005	0			
1578	williams chevrolet elkton md	4	0.007	0			
1579	white pages tifton ga	3	0.005	0			
1580	when i met you	3	0.005	0			
1581	west point pa	5	0.008	0			
1582	tibia br	6	0.008	0			
1583	sharp pc	3	0.005	0			
1584	savannh ga	3	0.005	0			
1585	que es economia	3	0.005	0			
1586	owner iq	7	0.011	0			
1587	new nickleback cd	5	0.008	0			
1588	la vida de pablo escobar	3	0.005	0			
1589	la loto	3	0.005	0			
1590	keystone rv trailers	4	0.006	0			
1591	jobs in KC	10	0.007	2.049			
1592	hack youtube	1	0	0			
1593	halal development corporation	1	0	0			
1594	st laurent shopping centre	1	0	0			
1595	HAMMER TOE	1	0	0			
1596	hanover area	5	0.003	0.246			
1597	jobs in area	5	0.003	0.246			
1598	recorder notes for songs instruments	1	0	0			
1599	new movies releases on dvd	1	0	0			
1600	hardcore fetish	1	0	0			
1601	HARTING Technology Group	1	0	0			
1602	heat recovery systems	1	0	0			
1603	hero angeles	1	0	0			
1604	hershy pa	4	0.005	0.203			
1605	hidden agenda	1	0	0			
1606	hillary duff	1	0	0			
1607	shower scene	1	0	0			
1608	holiday bejeweled	1	0	0			
1609	weather forecast jakarta	2	0.001	3.083			
1610	santa ursula jakarta	1	0.001	0			
1611	jakarta utara	1	0.001	0			
1612	holly poultry	1	0	0			
1613	hot hispanic	1	0	0			
1614	hot mammy	1	0	0			
1615	house decorating ideas	3	0.002	0.128			
1616	how many miles in a yard	2	0	0			
1617	how much is postage	1	0	0			
1618	how much was my stimulus	1	0	0			
1619	how to be sensual	4	0	568.559			
1620	how to become a pathologist	2	0	0			
1621	lyrics to electric feel by mgmt	1	0	0			
1622	how to copy wii games console	1	0	0			
1623	how to design a flyer for free	1	0	0			
1624	how to download songs on psp	1	0	0			
1625	how to draw dresses	1	0	0			
1626	how to fish	1	0	0			
1627	how to graph linear equations in excel	1	0	0			
1628	somebody to love lyric	1	0	0			
1629	make a bracket online	3	0	0			
1630	how to make a webshow for free characters	5	0	5.403			
1631	yahoo.com mail sign in	1	0	0			
1632	how to solve a rubix cube using diagrams	1	0	0			
1633	how to spot fake ugg boots	1	0	0			
1634	how to update psp version	1	0	0			
1635	juiceman ii	6	0.004	1.872			
1636	human cheek cells	2	0	0			
1637	john cheek	3	0	1438			
1638	human resource books	1	0	0			
1639	hunter fans parts blades	1	0	0			
1640	Hyatt Regency Adelaide	1	0	0			
1641	westin store	1	0	0			
1642	pacatan craft store	1	0	0			
1643	strausburg	2	0.004	0			
1644	pacc man mixtape	1	0.002	0			
1645	ken cockrel jr	2	0.004	0			
1646	i don't want to work	2	0	0			
1647	walk a mile	1	0	0			
1648	vzw pix	1	0.002	0			
1649	show pig breeders	2	0.003	0			
1650	icc mississippi	2	0.002	0			
1651	netflix telephone number	1	0.001	0			
1652	zip cords	1	0.002	0			
1653	wii fit calories	1	0.002	0			
1654	vip mma	1	0.002	0			
1655	technitrol inc	1	0.002	0			
1656	spectron iq	1	0.002	0			
1657	smarthome inc	1	0.002	0			
1658	pyrimid air	1	0.002	0			
1659	pie jesu	1	0.002	0			
1660	oc aa	1	0.002	0			
1661	mr bento	1	0.002	0			
1662	mercury grand marque	1	0.002	0			
1663	juegos de cortar pelo y vestir	2	0.002	0			
1664	Immigration and naturalization	1	0	0			
1665	when does the inauguration start?	1	0	0			
1666	obama inauguration menu	1	0	0			
1667	indiana railroads	1	0	0			
1668	Infant CPR	1	0	0			
1669	innovative educational media company that connects	2	0	0			
1670	Instant message	1	0	0			
1671	instant tax services	1	0	0			
1672	intentional communication without	1	0	0			
1673	interior journal	2	0	0			
1674	journal of small animal practice	3	0	1			
1675	intermountain lock	1	0	0			
1676	wwls radio	1	0	0			
1677	wonderbar radio	1	0	0			
1678	radio amator	1	0	0			
1679	interstate national dealer services	1	0	0			
1680	summer slaughter	1	0	0			
1681	summer banks video clips	1	0	0			
1682	uci address	1	0	0			
1683	irish birth records	1	0	0			
1684	jade bridal dresses	1	0	0			
1685	jag episodes online	1	0	0			
1686	speed racer trixie	2	0	6.978			
1687	jeans fashion	1	0	0			
1688	jennifer sevilla biography	1	0	0			
1689	jerry springer com	1	0	0			
1690	Kim Kardashian Playboy Pictures	2	0	0			
1691	jimmy fallon girlfriend	1	0	0			
1692	twilight zone people are alike all over	1	0.001	0			
1693	mold allergy	1	0.001	0			
1694	jobs in recreation	1	0	0			
1695	WOMEN PORN	2	0	0			
1696	LONG JOHNS	2	0	0			
1697	johnny londoff chevy	1	0	0			
1698	jonathan rhys meyers reena hammer	1	0	0			
1699	practice make perfect	1	0	0			
1700	jquery drop shadow	1	0	0			
1701	Kate Hudson biography	1	0	0			
1702	major stressors in life	1	0	0			
1703	LIPITOR GENERIC	2	0	0			
1704	LIVE VIDEO Streaming	1	0	0			
1705	Living Hope Ministries	1	0	0			
1706	Lotus Quickr Forum	1	0	0			
1707	LYRICS TO MY LIFE WOULD SUCK WITHOUT YOU	1	0	0			
1708	Mac computers	1	0	0			
1709	Mad World lyrics	1	0	0			
1710	Mark Mothersbaugh	1	0	0			
1711	MDBG Chinese Reader	1	0	0			
1712	Melissa Coates	1	0	0			
1713	MID DAY	1	0	0			
1714	Mind Blowing Deals	2	0	0			
1715	vikings in america	1	0.001	0			
1716	the best schools in america	1	0.001	0			
1717	mysterious places in america	1	0.001	0			
1718	missy higgins falling lyrics	1	0.001	0			
1719	miss guided	1	0.001	0			
1720	Most Affordable Option	1	0	0			
1721	Multiple sclerosis	1	0	0			
1722	NAACP Image Awards	1	0	0			
1723	Nanny Express	1	0	0			
1724	Navigation to the webpage was canceled What you can try:	3	0	331.602			
1725	New England Coffee	4	0.002	0.272			
1726	New I-9 Form	1	0	0			
1727	OBAMA INAUGURATION BALL	1	0	0			
1728	Oklahoma Unclaimed Property	1	0	0			
1729	ONLINE CALENDAR	1	0	0			
1730	Panic! at the disco	1	0	0			
1731	live and work in sweden	1	0.002	0			
1732	Pentecostal Bible Studies	1	0	0			
1733	stamps price	1	0	0			
1734	Prilosec OTC	1	0	0			
1735	ProForm Quick Burn SpaceSaver Elliptical	1	0	0			
1736	project gutenberg	1	0	0			
1737	REAL HYPERMARKET	1	0	0			
1738	Samsung Mini DV Camcorder	1	0	0			
1739	Scientific Advisory Committee	2	0	0			
1740	Scott Lynch	5	0.002	0.197			
1741	Search happymeal.com	1	0	0			
1742	SEXY TEACHERS	1	0	0			
1743	Share your images	1	0	0			
1744	vatican newspaper	1	0.001	0			
1745	need for speed ps2	1	0	0			
1746	STREP A	1	0	0			
1747	SUGAR DADDYS	1	0	0			
1748	Tactics Arena Online	1	0	0			
1749	The Americans with Disabilities Act	1	0	0			
1750	The Liver	1	0	0			
1751	Trick Flow Specialties	1	0	0			
1752	ULTRA FOOD	1	0	0			
1753	University of California San Francisco	2	0.001	0			
1754	marshall university	1	0	0			
1755	Virgin Money	1	0	0			
1756	Who's the Boss	2	0	0			
1757	Wii Shop Channel	2	0.001	0			
1758	Young and the REstless	1	0	0			
1759	Your browser sent	1	0	0			
							
							
							
							
							
							
							
							
							
							
							
							
							
							
